event,frontend,target,reference_normal_mm,predicted_normal_mm,interval_lower_mm,interval_upper_mm,central_reference_covered,target_projected_sum_tolerance_mm,target_projected_sum_intersects,target_projected_sum_fully_contains,target_projected_sum_abs_error_lower_mm,target_projected_sum_abs_error_upper_mm,event_rms_rss_tolerance_mm,event_rms_rss_intersects,event_rms_rss_fully_contains,event_rms_rss_abs_error_lower_mm,event_rms_rss_abs_error_upper_mm
E1->E2,cascade_strong,T2,-42.25410232505342,-25.98525299906675,-35.849609218567906,-16.120896779565594,False,0.5011180021414444,False,False,15.767731323845224,16.769967328128114,2.7703615080955846,False,False,13.498487817891084,19.039210834082255
E1->E2,cascade_strong,T3,-10.041220329399126,-7.258926578265495,-17.12328279776665,2.6054296412356592,True,1.3833904042824492,True,True,1.3989033468511818,4.165684155416081,2.7703615080955846,True,True,0.011932243038046408,5.5526552592292155
E1->E2,cascade_strong,T4,-6.576201148801528,-5.691280195549103,-15.555636415050257,4.173076023952051,True,0.35842850114395,True,True,0.5264924521084747,1.2433494543963746,2.7703615080955846,True,True,0.0,3.6552824613480093
E1->E2,multiscale_trimmed_ptp,T1,-36.891535820355884,-36.994090405138415,-42.02890979951923,-31.959271010757604,True,0.3302590632166089,True,True,0.0,0.43281364799914024,2.7703615080955846,True,True,0.0,2.872916092878116
E1->E2,multiscale_trimmed_ptp,T2,-42.25410232505342,-42.1244942958622,-47.15931369024301,-37.08967490148139,True,0.5011180021414444,True,True,0.0,0.630726031332662,2.7703615080955846,True,True,0.0,2.899969537286802
E1->E2,multiscale_trimmed_ptp,T3,-10.041220329399126,-8.727801354950287,-13.762620749331099,-3.692981960569477,True,1.3833904042824492,True,True,0.0,2.6968093787312877,2.7703615080955846,True,True,0.0,4.083780482544423
E1->E2,multiscale_trimmed_ptp,T4,-6.576201148801528,-6.989656679726853,-12.024476074107664,-1.9548372853460423,True,0.35842850114395,True,True,0.05502702978137497,0.7718840320692749,2.7703615080955846,True,True,0.0,3.1838170390209095
E1->E2,robust_ptpl,T1,-36.891535820355884,-36.895949096575734,-41.93967755578706,-31.852220637364415,True,0.3302590632166089,True,True,0.0,0.334672339436459,2.7703615080955846,True,True,0.0,2.7747747843154347
E1->E2,robust_ptpl,T2,-42.25410232505342,-42.0505638853471,-47.094292344558426,-37.00683542613578,True,0.5011180021414444,True,True,0.0,0.7046564418477584,2.7703615080955846,True,True,0.0,2.9738999478018986
E1->E2,robust_ptpl,T3,-10.041220329399126,-8.591850799716305,-13.635579258927624,-3.5481223405049853,True,1.3833904042824492,True,True,0.06597912540037187,2.8327599339652703,2.7703615080955846,True,True,0.0,4.219731037778406
E1->E2,robust_ptpl,T4,-6.576201148801528,-6.750743506343749,-11.794471965555068,-1.7070150471324297,True,0.35842850114395,True,True,0.0,0.5329708586861713,2.7703615080955846,True,True,0.0,2.944903865637806
E2->E3,cascade_strong,T1,-27.94845197788963,-21.0700776992715,-28.091913506249472,-14.048241892293529,True,0.4337573702300682,True,False,6.444616908388061,7.312131648848196,2.785285166142846,True,False,4.093089112475282,9.663659444760974
E2->E3,cascade_strong,T2,-32.41949762229654,-22.27054245241746,-29.29237825939543,-15.248706645439487,False,0.5283546396483947,False,False,9.620600530230686,10.677309809527475,2.785285166142846,False,False,7.363670003736234,12.934240336021926
E2->E3,cascade_strong,T3,-6.954381859339429,-5.575466305867669,-12.59730211284564,1.4463695011103024,True,0.8943315296355819,True,True,0.48458402383617816,2.273247083107342,2.785285166142846,True,True,0.0,4.164200719614606
E2->E3,cascade_strong,T4,-5.395557495362661,-4.231002186217777,-11.252837993195747,2.7908336207601936,True,0.3813040973986639,True,True,0.78325121174622,1.5458594065435478,2.785285166142846,True,True,0.0,3.94984047528773
E2->E3,multiscale_trimmed_ptp,T1,-27.94845197788963,-28.51830907205771,-33.56391372287972,-23.472704421235704,True,0.4337573702300682,True,True,0.13609972393801384,1.0036144643981504,2.785285166142846,True,True,0.0,3.355142260310928
E2->E3,multiscale_trimmed_ptp,T2,-32.41949762229654,-32.26482451486919,-37.3104291656912,-27.219219864047183,True,0.5283546396483947,True,True,0.0,0.6830277470757442,2.785285166142846,True,True,0.0,2.9399582735701957
E2->E3,multiscale_trimmed_ptp,T3,-6.954381859339429,-6.671280091792956,-11.716884742614964,-1.625675440970948,True,0.8943315296355819,True,True,0.0,1.1774332971820547,2.785285166142846,True,True,0.0,3.068386933689319
E2->E3,multiscale_trimmed_ptp,T4,-5.395557495362661,-5.4234311491437275,-10.469035799965734,-0.37782649832171966,True,0.3813040973986639,True,True,0.0,0.4091777511797301,2.785285166142846,True,True,0.0,2.8131588199239124
E2->E3,robust_ptpl,T1,-27.94845197788963,-28.192868531305116,-33.55978534820506,-22.82595171440517,True,0.4337573702300682,True,True,0.0,0.6781739236455552,2.785285166142846,True,True,0.0,3.029701719558333
E2->E3,robust_ptpl,T2,-32.41949762229654,-32.354552298889985,-37.72146911578993,-26.98763548199004,True,0.5283546396483947,True,True,0.0,0.5932999630549494,2.785285166142846,True,True,0.0,2.850230489549401
E2->E3,robust_ptpl,T3,-6.954381859339429,-6.753589268169404,-12.120506085069348,-1.3866724512694608,True,0.8943315296355819,True,True,0.0,1.0951241208056066,2.785285166142846,True,True,0.0,2.986077757312871
E2->E3,robust_ptpl,T4,-5.395557495362661,-5.079564979009074,-10.446481795909017,0.2873518378908688,True,0.3813040973986639,True,True,0.0,0.6972966137522509,2.785285166142846,True,True,0.0,3.101277682496433
