case_id,domain,seed,location_index,x_mm,z_mm,error_mm,pointwise_radius_mm,das_radius_mm,pointwise_standardized_abs_error,das_standardized_abs_error,pointwise_covered,das_covered
noise_density-seed-410000,noise_density,410000,451,1074.0780385032651,1515.2792052899865,-2.8020843742857418,4.464030613361682,7.508142856230099,0.6277027684126039,0.3732060548049683,True,True
noise_density-seed-410000,noise_density,410000,452,1131.6430891035077,1521.60159376527,-2.37245263146082,4.03109768112368,6.779984251609405,0.5885376190634736,0.3499200799614921,True,True
noise_density-seed-410000,noise_density,410000,453,1198.9052133662487,1561.5781633233573,-1.9551708837808484,3.993836234761052,6.717313475678124,0.4895470842704257,0.29106441002940847,True,True
noise_density-seed-410000,noise_density,410000,454,1270.9932192645756,1562.3374622704698,-1.4139515087962446,4.006339586094477,6.738343113716895,0.3529285220114392,0.20983667422900104,True,True
noise_density-seed-410000,noise_density,410000,455,1318.98361028388,1563.371267674681,-1.0757809734279242,4.269891567931028,7.181616491759713,0.25194573593099295,0.14979649423807165,True,True
noise_density-seed-410000,noise_density,410000,456,1393.1145509955118,1532.7493366031931,-0.5626152837679155,4.296928325306767,7.2270901576746995,0.13093429565822445,0.07784810642917671,True,True
noise_density-seed-410000,noise_density,410000,457,1424.7537932927298,1525.9670754990311,-0.4033496609894476,4.261163686704681,7.166936892815326,0.09465716190343608,0.05627922598199454,True,True
noise_density-seed-410000,noise_density,410000,458,1505.0702109934812,1520.151771436966,-0.29836419800044567,4.250030057350402,7.14821101771715,0.0702028442091666,0.041739702040263935,True,True
noise_density-seed-410000,noise_density,410000,459,1544.2020927128947,1497.721410294598,-0.5270576132921261,3.916732219129707,6.587630681295766,0.13456564906784402,0.08000715868735608,True,True
noise_density-seed-410000,noise_density,410000,460,1616.1643884378857,1483.1410629728641,-1.5490495540710558,4.1987902712074465,7.06202979101757,0.368927584855434,0.21934905401296145,True,True
noise_density-seed-410000,noise_density,410000,461,1658.621078064617,1531.1792135252526,-2.0298353170027563,4.351870801842459,7.319499013803578,0.466428212010196,0.2773188866034087,True,True
noise_density-seed-410000,noise_density,410000,462,1743.5992355788803,1565.8300952604761,-2.4182113190424768,4.352361898276353,7.32032499877125,0.5556089717631594,0.33034207080264666,True,True
noise_density-seed-410000,noise_density,410000,463,1797.045890595185,1534.710597637481,-2.2236138833440156,4.436188970493159,7.461315437219281,0.5012441756052656,0.2980190158228617,True,True
noise_density-seed-410000,noise_density,410000,464,1845.8599616259658,1510.6882905393322,-1.525481418174739,4.471917869515748,7.521408590961209,0.3411246500240241,0.20281858108439604,True,True
noise_density-seed-410000,noise_density,410000,465,1901.796474881623,1563.6090623316036,-0.34774274684946893,4.1227494282465065,6.934135168129006,0.08434729126804376,0.05014940413157509,True,True
noise_density-seed-410000,noise_density,410000,466,1974.3351145396778,1508.5728097292122,0.2898970375817551,4.113988295051632,6.919399642030084,0.07046617948097901,0.0418962702805676,True,True
noise_density-seed-410000,noise_density,410000,469,1070.0299494409087,1649.396626080931,-3.304976124331355,4.978518874975206,8.373471009331377,0.6638472620730627,0.39469607294851766,True,True
noise_density-seed-410000,noise_density,410000,470,1131.8481473604081,1681.7342418488702,-2.905944071090567,4.514169711658133,7.592472813906808,0.6437383299050056,0.38274013517280875,True,True
noise_density-seed-410000,noise_density,410000,471,1206.6456104317685,1650.5087179515913,-2.1694265559899457,4.100778868219388,6.897182441411309,0.5290279299873439,0.31453808485107076,True,True
noise_density-seed-410000,noise_density,410000,472,1276.8123867848371,1650.7669306994035,-1.6243734484110348,4.103209063495137,6.901269835714619,0.39587879225129813,0.23537312510297353,True,True
noise_density-seed-410000,noise_density,410000,473,1322.6893009200712,1676.3284450336496,-1.3823084283597729,4.085624785411739,6.87169448480223,0.33833464915708533,0.20115976218339635,True,True
noise_density-seed-410000,noise_density,410000,474,1370.5840340596935,1619.2506099991856,-0.8706419247165335,4.09830647741987,6.893024077608058,0.21243943797601367,0.12630768657037014,True,True
noise_density-seed-410000,noise_density,410000,475,1412.5695887518202,1697.0495941726672,-0.8879151046999897,4.075773085634572,6.855124712838242,0.2178519476046216,0.12952574050725976,True,True
noise_density-seed-410000,noise_density,410000,476,1495.1547985232787,1663.091385564208,-0.4651745936028866,4.0674595540877085,6.8411420169519745,0.11436489715930825,0.06799662869886482,True,True
noise_density-seed-410000,noise_density,410000,477,1553.2005916867897,1667.1467349557417,-0.545510149205614,3.9000080084751048,6.5595018950870445,0.13987411000699648,0.08316334958515552,True,True
noise_density-seed-410000,noise_density,410000,478,1610.3808206459075,1667.0615539313574,-0.9015246694039044,4.081022275860358,6.8639534314354576,0.22090657890708174,0.13134189769923435,True,True
noise_density-seed-410000,noise_density,410000,479,1661.2126519619394,1647.1951315405406,-1.4252485515458564,4.184912083749193,7.038687788453739,0.34056833764330835,0.20248782079577868,True,True
noise_density-seed-410000,noise_density,410000,480,1748.9591546056854,1647.4608565057586,-1.7689780517312543,4.390839061823679,7.385040513882446,0.40287927360210096,0.23953532122212712,True,True
